Date,Price,Open,High,Low,Change %
2010-07-20,105.64,102.38,105.92,102,3.20%
2010-07-21,102.36,104.91,104.92,101.19,-2.80%
2010-07-22,105.31,106.17,106.36,105,-0.81%
2010-07-23,106.17,107.53,107.73,105.97,-1.26%
2010-07-26,107.53,107.14,107.69,106.86,0.36%
2010-07-27,107.14,108.31,108.55,106.94,-1.08%
2010-07-28,108.31,107.39,108.58,106.98,0.21%
2010-07-29,108.08,109.61,109.69,107.5,-1.38%
2010-07-30,109.59,110.42,110.47,109.58,-0.75%
2010-08-02,110.42,110.19,110.7,110.12,0.20%
2010-08-03,110.2,110.73,111.05,109.89,-0.47%
2010-08-04,110.72,111.61,111.69,110.33,-0.77%
2010-08-05,111.58,112.11,112.19,111.47,-0.48%
2010-08-06,112.12,111.38,112.22,111.11,0.68%
2010-08-09,111.36,109.88,111.59,109.84,1.35%
2010-08-10,109.88,109.88,109.95,109.66,-0.01%
2010-08-11,109.89,109.78,109.97,109.72,0.13%
2010-08-12,109.75,109.81,109.92,109.69,-0.05%
2010-08-13,109.81,110.09,110.09,109.61,-0.25%
2010-08-16,110.08,109.78,110.14,109.77,0.27%
2010-08-17,109.78,109.78,109.97,109.72,0.03%
2010-08-18,109.75,109.86,109.89,109.56,0.02%
2010-08-19,109.73,110,110.03,109.53,-0.25%
2010-08-20,110,109.81,110,109.72,0.17%
2010-08-23,109.81,109.53,109.86,109.31,0.26%
2010-08-24,109.53,108.69,109.56,108.56,0.77%
2010-08-25,108.69,108.42,108.81,108.33,0.28%
2010-08-26,108.39,108.97,109.14,108.31,-0.53%
2010-08-27,108.97,109.02,109.08,108.58,-0.03%
2010-08-30,109,109.16,109.28,108.97,-0.13%
2010-08-31,109.14,108.89,109.2,108.75,0.23%
2010-09-01,108.89,109.05,109.14,108.72,-0.36%
2010-09-02,109.28,109.48,109.66,109.17,-0.19%
2010-09-03,109.49,109.84,109.87,109.26,-0.32%
2010-09-06,109.84,109.86,110.1,109.82,-0.04%
2010-09-07,109.88,110.19,110.22,109.77,-0.28%
