Date,Price,Open,High,Low,Change %
2012-03-15,112.38,112.56,112.81,112.28,-0.16%
2012-03-16,112.56,112.02,112.64,111.91,0.48%
2012-03-19,112.02,110.98,112.19,110.77,0.92%
2012-03-20,111,110.86,111.36,110.8,0.14%
2012-03-21,110.85,110.5,110.91,110.31,0.35%
2012-03-22,110.46,110.62,110.79,110.36,-0.14%
2012-03-23,110.62,110.47,110.72,110.3,0.14%
2012-03-26,110.47,110.61,110.64,110.28,-0.11%
2012-03-27,110.59,110.91,111.14,110.5,-0.27%
2012-03-28,110.89,110.67,111.06,110.48,0.19%
2012-03-29,110.68,110.49,110.95,110.39,0.16%
2012-03-30,110.5,110.25,110.66,109.97,0.22%
2012-04-02,110.26,110.06,110.49,109.68,0.18%
2012-04-03,110.06,109.75,110.22,109.36,0.26%
2012-04-04,109.78,109.92,110.03,109.36,-0.17%
2012-04-05,109.97,109.98,110.22,109.79,-0.03%
2012-04-06,110,110.36,110.77,109.83,-0.33%
2012-04-09,110.36,110.06,110.45,109.85,0.27%
2012-04-10,110.06,110.56,110.58,109.55,-0.44%
2012-04-11,110.55,110.67,110.75,110.3,-0.11%
2012-04-12,110.67,110.62,110.92,110.39,0.04%
2012-04-13,110.63,110.33,110.7,109.9,0.26%
2012-04-16,110.34,110.38,110.86,110.26,-0.04%
2012-04-17,110.38,110.03,110.5,109.98,0.32%
2012-04-18,110.03,109.47,110.12,109.22,0.44%
2012-04-19,109.55,109.71,109.87,109.19,-0.14%
2012-04-20,109.7,110.19,110.22,109.48,-0.43%
2012-04-23,110.17,109.8,110.28,109.78,0.34%
2012-04-24,109.8,109.83,110.02,109.47,-0.01%
2012-04-25,109.81,109.5,109.86,109.38,0.24%
2012-04-26,109.55,108.81,109.75,108.72,0.67%
2012-04-27,108.82,108.9,109.01,108.38,-0.08%
2012-04-30,108.91,108.75,109.08,108.33,0.13%
2012-05-01,108.77,109.42,109.47,108.11,-0.59%
2012-05-02,109.42,109.56,109.83,109.23,0.03%
2012-05-03,109.39,109.25,109.75,109.11,0.13%
2012-05-04,109.25,110.08,110.11,108.95,-0.75%
2012-05-07,110.08,110.9,110.93,109.54,-0.73%
2012-05-08,110.89,111.06,111.19,110.8,-0.15%
2012-05-09,111.06,110.72,111.41,110.72,0.28%
2012-05-10,110.75,110.78,111.08,110.61,-0.02%
2012-05-11,110.77,110.39,110.86,110.06,0.34%
2012-05-14,110.39,110.34,110.41,110.02,0.04%
2012-05-15,110.35,109.66,110.46,109.65,0.63%
2012-05-16,109.66,109.39,109.67,109.2,0.25%
2012-05-17,109.39,109.41,109.58,109.14,0.00%
2012-05-18,109.39,109.75,110.03,109.31,-0.33%
2012-05-21,109.75,109.11,109.83,108.97,0.58%
2012-05-22,109.12,109.08,109.36,108.83,0.03%
2012-05-23,109.09,109.12,109.41,108.75,-0.03%
2012-05-24,109.12,109.19,109.28,108.64,-0.06%
2012-05-25,109.19,109.83,109.89,108.94,-0.59%
2012-05-28,109.84,109.86,110.03,109.58,-0.02%
2012-05-29,109.86,109.34,109.89,109.23,0.48%
2012-05-30,109.33,109,109.45,109,0.26%
2012-05-31,109.05,109.31,109.55,108.97,-0.24%
2012-06-01,109.31,109.42,109.47,109.06,-0.10%
2012-06-04,109.42,108.81,109.47,108.8,0.55%
2012-06-05,108.82,108.7,109.2,108.54,0.10%
2012-06-06,108.71,107.63,108.76,107.63,0.97%
2012-06-07,107.67,107.38,107.86,107.36,0.27%
2012-06-08,107.38,107.23,107.53,107.17,0.14%
2012-06-11,107.23,106.98,107.39,106.98,0.21%
2012-06-12,107,107.12,107.22,106.86,-0.10%
2012-06-13,107.11,107.38,107.62,107.03,-0.21%
2012-06-14,107.34,107.33,107.78,107.19,0.01%
2012-06-15,107.33,106.8,107.44,106.69,0.50%
2012-06-18,106.8,107.2,107.25,106.64,-0.37%
2012-06-19,107.2,106.81,107.41,106.61,0.40%
2012-06-20,106.77,106.92,107.22,106.61,-0.15%
2012-06-21,106.93,107.39,107.47,106.78,-0.42%
2012-06-22,107.38,106.77,107.5,106.71,0.56%
2012-06-25,106.78,106.61,106.85,105.98,0.16%
2012-06-26,106.61,105.89,106.67,105.69,0.68%
2012-06-27,105.89,106.25,106.45,105.66,-0.37%
2012-06-28,106.28,106.42,106.55,106.11,-0.14%
2012-06-29,106.43,106.85,106.93,106.25,-0.40%
2012-07-02,106.86,105.33,107.02,105.31,1.44%
2012-07-03,105.34,105.41,105.92,105.33,-0.07%
2012-07-04,105.41,104.73,105.49,104.56,0.64%
2012-07-05,104.74,105.29,105.36,104.64,-0.51%
2012-07-06,105.28,106.06,106.09,105.25,-0.74%
2012-07-09,106.06,106.53,106.64,105.88,-0.44%
2012-07-10,106.53,106.08,106.61,105.92,0.41%
2012-07-11,106.09,105.95,106.31,105.67,0.07%
2012-07-12,106.02,106.34,106.39,105.61,-0.30%
2012-07-13,106.34,106.33,106.42,105.78,0.01%
2012-07-16,106.33,106.56,106.75,106.05,-0.23%
2012-07-17,106.58,106.42,107.31,106.25,0.15%
2012-07-18,106.42,106.81,106.97,106.31,-0.36%
2012-07-19,106.8,106.25,107.06,106.16,0.56%
2012-07-20,106.2,106.06,106.31,105.88,0.11%
2012-07-23,106.08,106.12,106.22,105.44,-0.04%
2012-07-24,106.12,106.2,106.47,105.84,-0.08%
2012-07-25,106.2,105.69,106.25,105.36,0.43%
2012-07-26,105.75,106.23,106.31,105.25,-0.46%
2012-07-27,106.24,106.67,107.2,106.16,-0.40%
2012-07-30,106.67,107.33,107.53,106.55,-0.61%
2012-07-31,107.33,106.94,107.69,106.78,0.36%
2012-08-01,106.94,106.84,107.3,106.38,0.05%
2012-08-02,106.89,106.75,107.14,106.48,0.13%
2012-08-03,106.75,107.78,107.81,106.59,-0.96%
2012-08-06,107.78,107.33,107.92,107.27,0.42%
2012-08-07,107.33,106.61,107.39,106.56,0.68%
2012-08-08,106.6,106.33,106.73,106.09,0.27%
2012-08-09,106.31,106.14,106.41,105.53,0.18%
2012-08-10,106.12,107,107.03,106.03,-0.84%
2012-08-13,107.02,107.83,107.91,106.72,-0.75%
2012-08-14,107.83,108.64,108.78,107.39,-0.76%
2012-08-15,108.66,108.81,108.95,108.44,-0.13%
2012-08-16,108.8,108.75,109.31,108.05,0.05%
2012-08-17,108.75,109.31,109.78,108.58,-0.53%
2012-08-20,109.33,109.56,109.72,108.92,-0.21%
2012-08-21,109.56,109.08,109.66,108.44,0.41%
2012-08-22,109.11,110.11,110.31,108.98,-0.91%
2012-08-23,110.11,109.41,110.48,109.28,0.64%
2012-08-24,109.41,109.19,109.75,109.09,0.20%
2012-08-27,109.19,108.78,109.45,108.58,0.38%
2012-08-28,108.78,108.97,109.22,108.42,-0.16%
2012-08-29,108.95,108.69,109.2,108.5,0.21%
2012-08-30,108.72,109.42,109.78,108.28,-0.63%
2012-08-31,109.41,109.22,109.7,108.5,0.17%
2012-09-03,109.22,110.31,110.34,108.97,-0.99%
2012-09-04,110.31,110.92,111.19,110.25,-0.55%
2012-09-05,110.92,110.62,111.23,110.52,0.13%
2012-09-06,110.78,111.11,111.14,110.5,-0.30%
2012-09-07,111.11,111.3,111.5,110.7,-0.15%
2012-09-10,111.28,110.44,111.34,110.19,0.75%
2012-09-11,110.45,110.55,110.98,110.25,-0.08%
2012-09-12,110.54,111.07,111.2,110.32,-0.45%
2012-09-13,111.04,111.26,111.7,110.91,-0.19%
2012-09-14,111.25,111.44,111.89,111.05,-0.17%
2012-09-17,111.44,112.66,112.78,111.28,-1.08%
2012-09-18,112.66,113.11,113.19,112.36,-0.38%
2012-09-19,113.09,113.06,113.39,112.89,0.01%
2012-09-20,113.08,112.75,113.32,112.72,0.29%
2012-09-21,112.75,112.5,112.87,112.46,0.22%
2012-09-24,112.5,112.3,112.61,112.17,0.18%
2012-09-25,112.3,112.67,112.8,112.06,-0.32%
2012-09-26,112.66,112.67,112.69,112.64,-0.03%
2012-09-27,112.69,112.88,112.98,112.47,-0.18%
2012-09-28,112.89,113.36,113.36,112.67,-0.41%
2012-10-01,113.36,113.25,113.39,113.14,0.11%
2012-10-02,113.23,113.28,113.36,113.12,-0.04%
2012-10-03,113.28,113.33,113.38,113.22,0.01%
2012-10-04,113.27,113.32,113.45,113.25,-0.05%
2012-10-05,113.33,113.41,113.64,113.2,-0.05%
2012-10-08,113.39,112.89,113.47,112.84,0.44%
2012-10-09,112.89,112.54,113.08,112.51,0.30%
2012-10-10,112.55,112.64,112.85,112.32,-0.03%
2012-10-11,112.58,112.39,112.75,112.03,0.17%
2012-10-12,112.39,112.53,112.88,112.06,-0.14%
2012-10-15,112.55,113.56,113.58,112.47,-0.88%
2012-10-16,113.55,113.58,113.75,113.38,-0.01%
2012-10-17,113.56,113.48,113.69,113.24,0.07%
2012-10-18,113.48,113.08,113.58,113.06,0.35%
2012-10-19,113.08,112.28,113.16,112.2,0.69%
2012-10-22,112.3,112.59,112.67,112,-0.26%
2012-10-23,112.59,112.41,112.88,112.38,0.15%
2012-10-24,112.42,112.41,113.09,112.36,0.28%
2012-10-25,112.11,112.53,112.88,111.42,-0.37%
2012-10-26,112.53,111.92,112.64,111.72,0.54%
2012-10-29,111.93,111.48,112.15,111.37,0.40%
2012-10-30,111.48,111.09,111.64,110.94,0.35%
2012-10-31,111.09,111.41,111.69,110.83,-0.41%
2012-11-01,111.55,111.22,111.64,111.19,0.30%
2012-11-02,111.22,111.21,111.38,111.06,0.00%
2012-11-05,111.22,112.45,112.5,111.14,-1.09%
2012-11-06,112.44,112.62,112.72,112.17,-0.16%
2012-11-07,112.62,112.08,112.72,111.88,0.48%
2012-11-08,112.08,113.05,113.16,111.94,-0.87%
2012-11-09,113.06,112.88,113.34,112.73,0.16%
2012-11-12,112.88,113.47,113.5,112.47,-0.50%
2012-11-13,113.45,113.62,113.92,113.31,-0.15%
2012-11-14,113.62,113.52,113.72,113.25,0.08%
2012-11-15,113.53,113.47,113.64,113.2,0.05%
2012-11-16,113.47,113.86,114.08,113.09,-0.36%
2012-11-19,113.88,114,114.05,113.39,-0.12%
2012-11-20,114.02,113.7,114.34,113.69,0.28%
2012-11-21,113.7,114,114.74,113.7,-0.33%
2012-11-22,114.08,114.08,114.44,113.66,-0.01%
2012-11-23,114.09,114.17,114.22,113.53,-0.07%
2012-11-26,114.17,113.64,114.3,113.61,0.47%
2012-11-27,113.64,113.17,113.73,112.97,0.40%
2012-11-28,113.19,113.73,113.84,113.03,-0.44%
2012-11-29,113.69,113.98,114.45,113.64,-0.25%
2012-11-30,113.98,113.75,114.08,113.34,0.20%
2012-12-03,113.75,113.92,114.25,113.48,-0.13%
2012-12-04,113.9,113.43,114.01,113.25,0.41%
2012-12-05,113.44,113.69,114.11,113.25,-0.07%
2012-12-06,113.52,112.53,113.58,112.52,0.86%
2012-12-07,112.55,112.94,113.16,112.31,-0.35%
2012-12-10,112.94,112.2,113.06,112.14,0.66%
2012-12-11,112.2,112.19,112.48,112.03,0.01%
2012-12-12,112.19,111.85,112.29,111.65,0.30%
2012-12-13,111.86,112.28,112.33,111.69,-0.37%
2012-12-14,112.28,112.5,112.53,112.12,-0.20%
2012-12-17,112.5,112.45,112.59,112.08,0.04%
2012-12-18,112.45,112.67,112.83,112,-0.20%
2012-12-19,112.67,112.69,112.75,112.32,0.03%
2012-12-20,112.64,112.81,113.44,112.61,-0.16%
2012-12-21,112.82,112.75,112.92,112.41,0.06%
2012-12-24,112.75,112.86,112.94,112.33,-0.10%
2012-12-25,112.86,112.75,113.2,112.64,0.08%
2012-12-26,112.77,112.56,113.06,112.44,0.25%
2012-12-27,112.49,112.35,112.74,112.21,0.13%
2012-12-28,112.34,112.86,113.2,112.25,-0.43%
2012-12-31,112.83,112.25,113.27,112.21,0.53%
2013-01-01,112.23,111.73,112.48,111.5,0.45%
2013-01-02,111.73,111.98,112.53,111.47,-0.22%
2013-01-03,111.98,112.47,112.56,111.66,-0.44%
2013-01-04,112.47,112.21,112.72,112.13,0.22%
2013-01-07,112.22,111.58,112.53,111.11,0.56%
2013-01-08,111.59,111.56,111.89,111.19,0.02%
2013-01-09,111.57,110.88,111.67,110.88,0.66%
2013-01-10,110.84,110.22,111.33,109.55,0.55%
2013-01-11,110.23,110.48,111.03,110.08,-0.23%
2013-01-14,110.48,110.19,110.7,109.92,0.28%
2013-01-15,110.17,109.42,110.27,109.25,0.69%
2013-01-16,109.41,108.2,109.52,108.14,1.46%
2013-01-17,107.84,108.45,108.5,107.33,-0.56%
2013-01-18,108.45,109.23,109.28,108.06,-0.71%
2013-01-21,109.23,108.81,109.41,108.45,0.39%
2013-01-22,108.81,109.73,109.84,108.64,-0.85%
2013-01-23,109.74,109.4,109.94,109.31,-0.48%
2013-01-24,110.27,109.97,110.42,109.56,0.27%
2013-01-25,109.97,110.25,110.67,109.89,-0.24%
2013-01-28,110.23,109.75,110.44,109.53,0.44%
2013-01-29,109.75,109.27,109.91,108.27,0.46%
2013-01-30,109.25,109.26,109.42,109.03,-0.10%
2013-01-31,109.36,109.56,109.86,109.11,-0.18%
2013-02-01,109.56,109.06,109.61,108.83,0.49%
2013-02-04,109.03,109.56,109.83,108.92,-0.49%
2013-02-05,109.57,108.97,109.65,108.87,0.54%
2013-02-06,108.98,109.34,109.43,108.62,-0.19%
2013-02-07,109.19,109.58,109.61,108.61,-0.35%
2013-02-08,109.57,110.2,110.37,109.43,-0.56%
2013-02-11,110.19,110.67,110.95,110.02,-0.43%
2013-02-12,110.67,109.64,110.86,109.59,0.94%
2013-02-13,109.64,109.06,109.81,109.03,0.41%
2013-02-14,109.19,109.22,109.44,108.77,-0.03%
2013-02-15,109.22,110.08,110.19,109.14,-0.78%
2013-02-18,110.08,110.31,110.39,109.56,-0.21%
2013-02-19,110.31,110.73,110.83,110.23,-0.40%
2013-02-20,110.75,110.61,110.92,110.61,0.05%
2013-02-21,110.69,110.03,111.06,109.83,0.58%
2013-02-22,110.05,110.72,110.84,109.86,-0.61%
2013-02-25,110.73,110.36,111,110.28,0.34%
2013-02-26,110.36,110.25,110.59,109.92,0.10%
2013-02-27,110.25,110.64,110.78,110.19,-0.38%
2013-02-28,110.67,111.28,111.34,110.55,-0.52%
2013-03-01,111.25,111.18,111.73,110.78,0.07%
2013-03-04,111.17,111.89,112.2,111.06,-0.64%
2013-03-05,111.89,111.08,111.96,110.81,0.70%
2013-03-06,111.11,111.06,111.31,110.61,-0.01%
2013-03-07,111.12,111.92,112.09,111,-0.71%
2013-03-08,111.91,111.98,112.43,111.48,-0.05%
2013-03-11,111.97,112.08,112.25,111.56,-0.10%
2013-03-12,112.08,112.62,112.72,111.67,-0.50%
2013-03-13,112.64,112.5,112.88,112.31,0.10%
2013-03-14,112.53,113.29,113.6,112.27,-0.66%
2013-03-15,113.28,113.16,113.53,112.86,0.11%
2013-03-18,113.16,113.94,113.98,112.92,-0.68%
2013-03-19,113.94,114.05,114.51,113.72,-0.09%
2013-03-20,114.04,113.97,114.3,113.85,0.13%
2013-03-21,113.89,113.19,114.19,113.08,0.59%
2013-03-22,113.22,113.27,113.48,112.89,-0.04%
2013-03-25,113.27,113.28,113.69,112.81,-0.01%
2013-03-26,113.28,113.38,113.48,112.73,-0.10%
2013-03-27,113.39,112.14,113.48,111.94,0.90%
2013-03-28,112.38,112.19,112.62,111.74,0.18%
2013-03-29,112.18,112.31,112.94,111.81,-0.11%
2013-04-01,112.3,112.36,112.43,111.83,-0.05%
2013-04-02,112.36,111.88,112.47,111.45,0.46%
2013-04-03,111.84,111.11,111.94,111.11,0.49%
2013-04-04,111.29,111.35,111.45,111.16,-0.04%
2013-04-05,111.33,111.35,111.45,110.93,-0.04%
2013-04-08,111.38,111.45,111.73,111.05,-0.05%
2013-04-09,111.44,111.53,111.81,111.31,-0.08%
2013-04-10,111.53,110.83,111.61,110.75,0.60%
2013-04-11,110.86,110.92,111.44,110.64,-0.07%
2013-04-12,110.94,109.56,111,109.28,1.24%
2013-04-15,109.58,110.06,110.36,108.83,-0.45%
2013-04-16,110.07,109.95,110.28,109.82,0.12%
2013-04-17,109.94,110.36,110.44,109.61,-0.36%
2013-04-18,110.34,110,110.81,109.75,0.31%
2013-04-19,110,109.83,110.42,109.39,0.17%
2013-04-22,109.81,109.44,109.91,109.11,0.37%
2013-04-23,109.41,110.44,110.52,109.2,-0.96%
2013-04-24,110.47,110.36,110.73,110.25,0.05%
2013-04-25,110.42,111.34,111.72,110.31,-0.84%
2013-04-26,111.36,110.77,111.48,110.67,0.52%
2013-04-29,110.78,110.86,111.25,110.47,-0.06%
2013-04-30,110.85,111.27,111.35,110.67,-0.37%
2013-05-01,111.26,111.32,111.48,111.16,-0.07%
2013-05-02,111.34,111.86,111.89,110.89,-0.44%
2013-05-03,111.83,111.48,111.95,111.47,0.30%
2013-05-06,111.5,111.76,112.12,111.46,-0.25%
2013-05-07,111.78,111.31,111.86,110.86,0.43%
2013-05-08,111.3,111.33,111.62,110.89,0.02%
2013-05-09,111.28,111.48,111.7,111.03,-0.20%
2013-05-10,111.5,110.83,111.73,110.23,0.61%
2013-05-13,110.82,113.13,113.14,110.78,-2.03%
2013-05-14,113.12,113.78,113.8,112.91,-0.58%
2013-05-15,113.78,113.19,113.86,113.11,0.39%
2013-05-16,113.34,113.86,113.97,113.19,-0.46%
2013-05-17,113.86,114.31,114.39,113.47,-0.37%
2013-05-20,114.28,113.98,114.36,113.62,0.26%
2013-05-21,113.98,113.25,114.33,113.11,0.64%
2013-05-22,113.25,112.98,113.31,112.38,0.47%
2013-05-23,112.72,112.45,112.83,112.08,0.23%
2013-05-24,112.46,112.74,113.05,112.3,-0.26%
2013-05-27,112.75,112,112.8,111.95,0.69%
2013-05-28,111.98,111.86,112.33,111.78,0.13%
2013-05-29,111.84,111.3,111.93,111.19,0.26%
2013-05-30,111.55,111.25,111.72,111.06,0.25%
2013-05-31,111.27,111.06,111.61,111,0.19%
2013-06-03,111.06,111.11,111.8,110.88,-0.03%
2013-06-04,111.09,109.77,111.19,109.58,1.20%
2013-06-05,109.77,110.25,110.64,109.64,0.63%
2013-06-06,109.08,109.33,109.44,108.86,-0.22%
2013-06-07,109.32,108.85,109.49,108.7,0.42%
2013-06-10,108.86,108.42,109.19,108.36,0.41%
2013-06-11,108.42,108.92,109.23,108.31,-0.45%
2013-06-12,108.91,108.67,109.06,108.12,0.25%
2013-06-13,108.64,109.09,109.25,108.55,-0.41%
2013-06-14,109.09,109.02,109.41,108.72,0.06%
2013-06-17,109.03,109.63,109.89,108.96,-0.54%
2013-06-18,109.62,110.94,110.97,109.6,-1.19%
2013-06-19,110.94,111.09,111.58,110.78,-0.12%
2013-06-20,111.07,110.81,111.38,110.13,0.23%
2013-06-21,110.81,110.69,111.14,110.28,0.10%
2013-06-24,110.7,110.77,111.47,110.53,-0.05%
2013-06-25,110.75,110.89,110.97,110.27,-0.13%
2013-06-26,110.89,111.41,111.61,110.84,-0.45%
2013-06-27,111.39,111.92,112.2,111.22,-0.47%
2013-06-28,111.92,111.06,111.97,110.94,0.78%
2013-07-01,111.05,111.14,111.33,110.7,-0.10%
2013-07-02,111.16,110.69,111.22,110.19,0.45%
2013-07-03,110.66,111.23,111.27,110.1,-0.61%
2013-07-04,111.34,110.94,111.5,110.61,0.36%
2013-07-05,110.94,111.17,111.58,110.61,-0.20%
2013-07-08,111.16,111.7,111.81,110.72,-0.50%
2013-07-09,111.72,112.55,112.88,111.55,-0.75%
2013-07-10,112.56,112.69,112.89,112.44,-0.14%
2013-07-11,112.72,113.31,113.5,112.55,-0.52%
2013-07-12,113.31,113.36,113.56,112.91,-0.06%
2013-07-15,113.38,114.75,114.91,113.18,-1.19%
2013-07-16,114.75,114.88,115.2,114.5,-0.11%
2013-07-17,114.88,114.81,114.93,114.47,0.11%
2013-07-18,114.75,114.94,115.51,114.63,-0.17%
2013-07-19,114.94,114.38,115.03,114.33,0.52%
2013-07-22,114.35,113.99,114.77,113.61,0.32%
2013-07-23,113.98,113.89,114.17,113.72,0.08%
2013-07-24,113.89,114.02,114.14,113.55,-0.11%
2013-07-25,114.02,114.42,114.77,113.83,-0.34%
2013-07-26,114.41,113.75,114.61,113.69,0.60%
2013-07-29,113.73,112.78,114.06,112.73,0.84%
2013-07-30,112.78,112.72,112.91,111.7,0.07%
2013-07-31,112.7,112.11,112.86,111.92,0.45%
2013-08-01,112.19,112.61,112.96,111.92,-0.36%
2013-08-02,112.59,113.31,113.47,112.56,-0.63%
2013-08-05,113.3,113.72,113.75,112.91,-0.34%
2013-08-06,113.69,113.08,113.78,113.08,0.52%
2013-08-07,113.1,112.86,113.26,112.78,0.19%
2013-08-08,112.88,113.25,113.53,112.61,-0.31%
2013-08-09,113.23,114.17,114.36,113.09,-0.82%
2013-08-12,114.17,114.23,114.97,113.84,-0.08%
2013-08-13,114.26,113.73,114.5,113.22,0.45%
2013-08-14,113.75,113.33,114.17,113.28,0.47%
2013-08-15,113.22,113.25,113.88,112.86,-0.03%
2013-08-16,113.25,111.97,113.38,111.73,1.17%
2013-08-19,111.94,112.36,112.55,111.61,-0.40%
2013-08-20,112.39,111.75,112.58,111.58,0.57%
2013-08-21,111.75,112.42,112.81,111.64,-0.84%
2013-08-22,112.7,112.78,113.45,112.28,-0.10%
2013-08-23,112.81,113.25,113.36,112.03,-0.39%
2013-08-26,113.25,112.81,113.97,112.62,0.40%
2013-08-27,112.8,113.75,113.97,112.06,-0.86%
2013-08-28,113.78,115.09,115.14,113.44,-1.13%
2013-08-29,115.08,114.53,115.39,114.39,0.48%
2013-08-30,114.53,113.28,114.86,113.03,1.10%
2013-09-02,113.28,113.78,114,113.03,-0.46%
2013-09-03,113.8,112.7,113.91,112.5,0.98%
2013-09-04,112.7,114.37,114.45,112.68,-1.68%
2013-09-05,114.62,114.88,115.41,114.22,-0.22%
2013-09-06,114.87,114.63,115.62,114.38,0.17%
2013-09-09,114.67,112.61,114.77,112.56,1.80%
2013-09-10,112.64,114.19,114.3,112.59,-1.37%
2013-09-11,114.2,114.55,114.55,113.67,-0.29%
2013-09-12,114.53,114.72,115.46,114.2,-0.17%
2013-09-13,114.72,115.42,115.53,113.75,-0.60%
2013-09-16,115.41,115.78,116.86,114.24,-0.31%
2013-09-17,115.77,116.02,116.35,115.19,-0.22%
2013-09-18,116.03,116.91,117.53,115.97,-0.76%
2013-09-19,116.92,115.36,117.19,115.06,1.35%
2013-09-20,115.36,117.25,117.44,115.22,-1.63%
2013-09-23,117.27,117.77,118.19,117.05,-0.41%
2013-09-24,117.75,117.55,118.61,117.2,0.19%
2013-09-25,117.53,116.92,117.69,116.72,0.55%
2013-09-26,116.89,116.56,117.22,116.05,0.29%
2013-09-27,116.55,117.25,117.27,116.2,-0.60%
2013-09-30,117.25,117.41,117.83,117.05,-0.14%
2013-10-01,117.42,117.09,117.64,117.08,0.28%
2013-10-02,117.09,117.38,117.4,116.99,-0.22%
2013-10-03,117.35,117.55,117.67,117.18,-0.16%
2013-10-04,117.54,117.58,117.9,117.26,-0.01%
2013-10-07,117.55,117.84,118.07,117.08,-0.28%
2013-10-08,117.88,117.11,118.28,116.99,0.68%
2013-10-09,117.08,117.89,118.03,116.53,-0.77%
2013-10-10,117.99,118.18,118.43,117.45,-0.15%
2013-10-11,118.17,117.05,118.67,116.97,0.96%
2013-10-14,117.05,115.17,117.39,114.75,1.61%
2013-10-15,115.19,115.03,115.5,114.73,0.14%
2013-10-16,115.03,115.22,116.12,114.83,-0.32%
2013-10-17,115.4,114.04,115.4,114,1.20%
2013-10-18,114.03,113.73,114.39,113.14,0.23%
2013-10-21,113.77,114,114.41,113.39,-0.22%
2013-10-22,114.02,113.88,114.22,113.5,0.16%
2013-10-23,113.84,113.55,114.8,112.86,0.23%
2013-10-24,113.58,114.1,114.25,113.33,-0.45%
2013-10-25,114.09,114.45,114.83,113.81,-0.33%
2013-10-28,114.47,112.41,114.56,112.05,1.85%
2013-10-29,112.39,111.94,113.36,111.61,0.40%
2013-10-30,111.94,113.05,113.12,111.33,-1.01%
2013-10-31,113.08,113.34,113.91,112.55,-0.23%
2013-11-01,113.34,112.53,113.58,112.39,0.73%
2013-11-04,112.52,111.11,112.98,110.83,1.26%
2013-11-05,111.12,110.81,111.36,110.23,0.26%
2013-11-06,110.83,110.93,111.4,110.46,-0.11%
2013-11-07,110.95,110.13,110.98,109.8,0.76%
2013-11-08,110.11,109.08,110.2,108.55,0.94%
2013-11-11,109.08,109.19,109.77,108.78,-0.08%
2013-11-12,109.17,108.42,109.36,107.77,0.69%
2013-11-13,108.42,106.54,108.56,106.53,1.63%
2013-11-14,106.68,106.82,106.94,106.01,-0.14%
2013-11-15,106.83,105.67,106.95,104.97,1.10%
2013-11-18,105.67,105.14,105.91,101.17,0.48%
2013-11-19,105.16,104.46,105.22,104.29,0.66%
2013-11-20,104.47,103.14,104.64,103.09,1.29%
2013-11-21,103.14,102.98,103.37,102.83,0.16%
2013-11-22,102.98,103.31,103.45,102.56,-0.32%
2013-11-25,103.31,104.14,104.19,103,-0.82%
2013-11-26,104.16,104.84,105.14,103.81,-0.63%
2013-11-27,104.82,104.69,105.23,104.25,0.11%
2013-11-28,104.7,105.28,105.55,104.47,-0.56%
2013-11-29,105.29,104.46,105.35,104.28,0.78%
2013-12-02,104.47,104.22,104.62,104,0.23%
2013-12-03,104.23,104.18,104.88,104.1,0.04%
2013-12-04,104.19,103.86,104.33,103.7,0.35%
2013-12-05,103.83,103.95,104.23,103.53,-0.12%
2013-12-06,103.95,103.44,104.11,103.33,0.49%
2013-12-09,103.44,103.84,103.94,103.16,-0.40%
2013-12-10,103.86,103.89,104.22,103.67,-0.03%
2013-12-11,103.89,104.06,104.39,103.77,-0.29%
2013-12-12,104.19,103.7,104.48,103.59,0.48%
2013-12-13,103.69,104.22,104.64,103.33,-0.49%
2013-12-16,104.2,103.52,104.5,103.28,0.66%
2013-12-17,103.52,103.61,104.08,103.16,-0.09%
2013-12-18,103.61,103.09,103.81,102.81,0.67%
2013-12-19,102.92,103.94,104.05,102.86,-0.98%
2013-12-20,103.94,103.5,104.17,103.33,0.43%
2013-12-23,103.5,102.89,103.67,102.67,0.59%
2013-12-24,102.89,101.64,102.97,101.56,1.23%
2013-12-25,101.64,101.39,101.69,101.22,0.30%
2013-12-26,101.34,101.03,101.77,100.75,0.31%
2013-12-27,101.03,100.69,101.86,100.64,0.36%
2013-12-30,100.67,100.42,100.83,100.25,0.23%
2013-12-31,100.44,100.33,101,100.08,0.11%
2014-01-01,100.33,101.05,101.11,100.23,-0.66%
2014-01-02,101,100.75,101.25,100.67,0.25%
2014-01-03,100.75,100.33,100.94,100.09,0.44%
2014-01-06,100.31,101.72,102.81,100.31,-1.38%
2014-01-07,101.71,101.95,102.08,101.54,-0.23%
2014-01-08,101.94,102.22,102.42,101.58,-0.35%
2014-01-09,102.3,102.08,102.47,101.73,0.21%
2014-01-10,102.09,102.42,102.75,101.92,-0.32%
2014-01-13,102.42,102.56,103.36,102.25,-0.14%
2014-01-14,102.56,101.88,102.77,101.42,0.69%
2014-01-15,101.86,102.69,102.8,101.56,-0.81%
2014-01-16,102.69,102.48,103.06,101.97,0.19%
2014-01-17,102.5,101.75,102.61,101.41,0.76%
2014-01-20,101.73,102.03,102.14,101.2,-0.28%
2014-01-21,102.02,103.44,103.83,101.94,-1.37%
2014-01-22,103.44,103.95,104.14,103.14,-0.53%
2014-01-23,103.99,103.24,104.33,102.81,0.72%
2014-01-24,103.25,103.42,104.02,103.05,-0.16%
2014-01-27,103.42,102.95,103.53,102.84,0.44%
2014-01-28,102.97,101.92,103.14,101.75,1.03%
2014-01-29,101.92,101.83,102.41,101.83,0.09%
2014-01-30,101.83,100.53,101.94,100.08,1.29%
2014-01-31,100.53,100.44,100.62,100.28,0.09%
